"Kläranlage","long","lat","Bundesland"
"Landau in der Pfalz",8.17543618840456,49.2077843914887,"Rheinland-Pfalz"
"Leinetal",10.0329309211646,51.3723736524047,"Thüringen"
"Leipzig",12.336304447882,51.358186793233,"Sachsen"
"Leonberg",9.04240942865666,48.8145920559141,"Baden-Württemberg"
"Linsenstein",11.1943624518142,51.3189935430784,"Thüringen"
"Ludwigshafen (BASF)",8.41244374478621,49.5544351046548,"Rheinland-Pfalz"
"Lübeck",10.8638461745371,53.9503884517907,"Schleswig-Holstein"
"Mainz",8.21698912282447,50.0308325247499,"Rheinland-Pfalz"
"Marburg",8.75719008326243,50.7671525960766,"Hessen"
"Markkleeberg",12.3554092091849,51.2936106000292,"Sachsen"
"Meuselwitz",12.3142387503981,51.0508689741804,"Thüringen"
"Montabaur",7.84407945897943,50.4294660220674,"Rheinland-Pfalz"
"Mönchengladbach",6.46430190622877,51.243118073826,"Nordrhein-Westfalen"
"Mühlacker-Lomersheim",8.87421741891987,48.937121601603,"Baden-Württemberg"
"München",11.7051863379152,48.209524876375,"Bayern"
"Münster",7.651,52.008,"Nordrhein-Westfalen"
"Naumburg",11.8317398948844,51.1619150148221,"Sachsen-Anhalt"
"Neu-Ulm",10.03,48.425,"Bayern"
"Neubrandenburg",13.2420470355616,53.5681439596475,"Mecklenburg-Vorpommern"
"Neustadt an der Weinstraße",8.22851751273747,49.3314004457518,"Rheinland-Pfalz"
"Nordhausen",10.8217488938796,51.4846478142512,"Thüringen"
"Nürnberg",11.02,49.465,"Bayern"
"Offenburg",7.9151969550732,48.5192442046546,"Baden-Württemberg"
"Oldenburg",8.24573142489253,53.1433684866737,"Niedersachsen"
"Osnabrück",8.01364869394655,52.3027331434927,"Niedersachsen"
"Paderborn",8.64143105304298,51.7496410532905,"Nordrhein-Westfalen"
"Passau",13.496,48.579,"Bayern"
"Pforzheim",8.73514071203774,48.9016551177948,"Baden-Württemberg"
"Piding",12.9183966235475,47.7655025212066,"Bayern"
